configuration,method,drift_type,distribution,replications,TP,FP,FN,FDR,MDR,IR,mean_delay
MCDD-S,mcdd,abrupt,gamma,1000,830,137,33,0.14167528438469493,0.038238702201622246,0.8583247156153051,306.26506024096386
MCDD-S,mcdd,abrupt,normal,1000,842,145,13,0.1469098277608916,0.0152046783625731,0.8530901722391084,306.17577197149643
MCDD-S,mcdd,all,all,9000,6555,1130,1315,0.14703968770331816,0.1670902160101652,0.8529603122966819,884.1189931350115
MCDD-S,mcdd,gradual,all,3000,2134,369,497,0.1474230922892529,0.18890155834283542,0.8525769077107471,1241.7057169634488
MCDD-S,mcdd,gradual,exponential,1000,488,122,390,0.2,0.44419134396355353,0.8,1521.72131147541
MCDD-S,mcdd,gradual,gamma,1000,817,123,60,0.13085106382978723,0.06841505131128849,0.8691489361702127,1172.3378212974296
MCDD-S,mcdd,gradual,normal,1000,829,124,47,0.13011542497376705,0.05365296803652968,0.869884575026233,1145.2352231604343
MCDD-S,mcdd,incremental,all,3000,2105,363,532,0.14708265802269044,0.2017444065225635,0.8529173419773096,1037.4346793349168
MCDD-S,mcdd,incremental,exponential,1000,467,125,408,0.21114864864864866,0.4662857142857143,0.7888513513513513,1380.728051391863
MCDD-S,mcdd,incremental,gamma,1000,809,119,72,0.12823275862068967,0.08172531214528944,0.8717672413793104,946.10630407911
MCDD-S,mcdd,incremental,normal,1000,829,119,52,0.12552742616033755,0.05902383654937571,0.8744725738396625,933.1724969843184
TSH-G20k,tsh,abrupt,all,3000,2030,552,418,0.21378776142525174,0.1707516339869281,0.7862122385747483,925.0246305418719
TSH-G20k,tsh,abrupt,exponential,1000,481,181,338,0.27341389728096677,0.4126984126984127,0.7265861027190332,1301.4553014553014
TSH-G20k,tsh,abrupt,gamma,1000,767,184,49,0.19348054679284962,0.06004901960784314,0.8065194532071503,812.51629726206
TSH-G20k,tsh,abrupt,normal,1000,782,187,31,0.19298245614035087,0.038130381303813035,0.8070175438596491,803.8363171355498
TSH-G20k,tsh,all,all,9000,4867,1651,2482,0.2532985578398282,0.3377330249013471,0.7467014421601719,1262.5436613930553
TSH-G20k,tsh,gradual,all,3000,1401,559,1040,0.28520408163265304,0.42605489553461695,0.7147959183673469,1606.423982869379
TSH-G20k,tsh,gradual,exponential,1000,194,178,628,0.478494623655914,0.7639902676399026,0.521505376344086,2074.226804123711
TSH-G20k,tsh,gradual,gamma,1000,559,209,232,0.2721354166666667,0.29329962073324906,0.7278645833333334,1568.515205724508
TSH-G20k,tsh,gradual,normal,1000,648,172,180,0.2097560975609756,0.21739130434782608,0.7902439024390244,1499.0740740740741
TSH-G20k,tsh,incremental,all,3000,1436,540,1024,0.2732793522267207,0.416260162601626,0.7267206477732794,1404.1782729805013
TSH-G20k,tsh,incremental,exponential,1000,194,170,636,0.46703296703296704,0.7662650602409639,0.532967032967033,2024.7422680412371
TSH-G20k,tsh,incremental,gamma,1000,596,191,213,0.24269377382465057,0.26328800988875156,0.7573062261753494,1337.5838926174497
TSH-G20k,tsh,incremental,normal,1000,646,179,175,0.21696969696969698,0.21315468940316687,0.7830303030303031,1279.2569659442725
TSH-G30k,tsh,abrupt,all,3000,2021,458,521,0.18475191609519967,0.2049567269866247,0.8152480839048003,996.5363681345868
TSH-G30k,tsh,abrupt,exponential,1000,435,155,410,0.2627118644067797,0.48520710059171596,0.7372881355932204,1402.7586206896551
TSH-G30k,tsh,abrupt,gamma,1000,771,157,72,0.16918103448275862,0.08540925266903915,0.8308189655172413,889.4941634241245
TSH-G30k,tsh,abrupt,normal,1000,815,146,39,0.15192507804370448,0.04566744730679157,0.8480749219562955,880.9815950920246
TSH-G30k,tsh,all,all,9000,4605,1374,3021,0.22980431510286,0.39614476789929187,0.77019568489714,1317.915309446254
TSH-G30k,tsh,gradual,all,3000,1239,476,1285,0.27755102040816326,0.5091125198098256,0.7224489795918367,1684.2615012106537
TSH-G30k,tsh,gradual,exponential,1000,138,149,713,0.519163763066202,0.8378378378378378,0.4808362369337979,2104.3478260869565
TSH-G30k,tsh,gradual,gamma,1000,527,174,299,0.24821683309557774,0.3619854721549637,0.7517831669044223,1667.5521821631878
TSH-G30k,tsh,gradual,normal,1000,574,153,273,0.21045392022008252,0.32231404958677684,0.7895460797799174,1598.6062717770035
TSH-G30k,tsh,incremental,all,3000,1345,440,1215,0.24649859943977592,0.474609375,0.7535014005602241,1463.3457249070632
TSH-G30k,tsh,incremental,exponential,1000,153,146,701,0.4882943143812709,0.8208430913348946,0.5117056856187291,1960.7843137254902
TSH-G30k,tsh,incremental,gamma,1000,567,159,274,0.2190082644628099,0.3258026159334126,0.78099173553719,1459.2592592592594
TSH-G30k,tsh,incremental,normal,1000,625,135,240,0.17763157894736842,0.2774566473988439,0.8223684210526315,1345.28
TSH-S,tsh,abrupt,all,3000,1881,933,186,0.3315565031982942,0.0899854862119013,0.6684434968017058,677.8309409888358
TSH-S,tsh,abrupt,exponential,1000,525,308,167,0.3697478991596639,0.24132947976878613,0.6302521008403361,1078.857142857143
TSH-S,tsh,abrupt,gamma,1000,665,320,15,0.3248730964467005,0.022058823529411766,0.6751269035532995,560.9022556390977
TSH-S,tsh,abrupt,normal,1000,691,305,4,0.30622489959839355,0.0057553956834532375,0.6937751004016064,485.67293777134586
TSH-S,tsh,all,all,9000,4833,2880,1287,0.3733955659276546,0.21029411764705883,0.6266044340723453,1088.3923029174425
TSH-S,tsh,gradual,all,3000,1468,975,557,0.39909946786737616,0.2750617283950617,0.6009005321326238,1451.0899182561309
TSH-S,tsh,gradual,exponential,1000,294,325,381,0.5250403877221325,0.5644444444444444,0.47495961227786754,1848.9795918367347
TSH-S,tsh,gradual,gamma,1000,595,301,104,0.3359375,0.14878397711015737,0.6640625,1358.6554621848738
TSH-S,tsh,gradual,normal,1000,579,349,72,0.3760775862068966,0.11059907834101383,0.6239224137931034,1344.041450777202
TSH-S,tsh,incremental,all,3000,1484,972,544,0.3957654723127036,0.2682445759368836,0.6042345276872965,1250.0
TSH-S,tsh,incremental,exponential,1000,290,330,380,0.532258064516129,0.5671641791044776,0.46774193548387094,1764.1379310344828
TSH-S,tsh,incremental,gamma,1000,602,305,93,0.3362734288864388,0.13381294964028778,0.6637265711135611,1127.906976744186
TSH-S,tsh,incremental,normal,1000,592,337,71,0.3627556512378902,0.10708898944193061,0.6372443487621098,1122.2972972972973
